"","AskeladdenID","Uncal.C14Age","C14SD","C14LabCode","xcoord","ycoord","meancalyear","cent","bio01","bio04","bio05","bio06","bio12","bio15","topo01","centrank","Suit"
"81",96344,4710,140,"Beta-90354",294340,6628277,5414,5400,6.93820571899414,605.946044921875,17.7044410705566,-6.15000009536743,1651.75329589844,30.1383285522461,"3",452662,0.909515261650085
"82",6477,5780,80,"T-7535",280411.4449,6739309.806,6578,6600,7.21714925765991,593.861511230469,18.3500003814697,-5.55000019073486,1893.57885742188,32.340030670166,"3",5531571.5,0.818182528018951
"83",6477,5570,70,"T-6236",280411.4449,6739309.806,6362,6400,6.9467978477478,615.608947753906,18.3500003814697,-6.65000009536743,1869.34729003906,32.3695411682129,"3",5615859,0.806281626224518
"84",6477,4320,70,"T-7148",280411.4449,6739309.806,4912,4900,7.73574495315552,562.573486328125,18.5499992370605,-3.45000004768372,1888.34729003906,32.3994789123535,"3",6185319.5,0.866389334201813
"90",91277,6290,40,"Poz-19338",355006.7965,6693012.414,7213,7200,3.59708762168884,815.93310546875,19.0262546539307,-14.7737455368042,1552.46142578125,39.0503196716309,"5",12397385.5,0.534304261207581
"93",66458,4400,90,"TUa-2028",280286.3545,6739310.658,5024,5000,7.77860832214355,541.095947265625,18.1499996185303,-2.3189013004303,1941.31103515625,30.7270088195801,"3",6230220.5,0.84305739402771
"97",94845,3920,80,"Ua-2457",272234.5278,6719961.693,4346,4300,7.3027138710022,539.980285644531,17.2590293884277,-4.29873704910278,1830.68054199219,30.597827911377,"1",6940935.5,0.763812184333801
"98",178656,5080,30,"Beta-390989",272209.7419,6722147.346,5813,5800,8.15416622161865,528.606018066406,18.3500003814697,-2.34999990463257,1789.27075195312,30.6040573120117,"2",3665258,0.908068299293518
"100",66458,4920,70,"T-1904",280286.3545,6739310.658,5659,5700,7.52185010910034,558.221740722656,18.25,-3.34999990463257,1950,32.0625610351562,"3",6245244.5,0.814862191677094
"105",96344,3910,60,"Beta-87274",294340,6628277,4335,4300,7.06246757507324,577.871704101562,17.4386253356934,-5.51581716537476,1689.58374023438,30.7760372161865,"3",490541,0.903321087360382
"106",6477,4675,85,"Tua-2025",280411.4449,6739309.806,5406,5400,7.04728031158447,583.5654296875,17.75,-5.34999990463257,1908.11572265625,30.4195098876953,"3",6003762.5,0.793480038642883
"107",6477,5010,50,"T-7510",280411.4449,6739309.806,5745,5700,7.51859664916992,558.555603027344,18.25,-3.34999990463257,1950,32.0625610351562,"3",6261300,0.8145552277565
"112",91275,7370,40,"Poz-15840",355132.9585,6693027.47,8179,8200,1.15109157562256,882.834777832031,16.5975074768066,-21.9985389709473,1518.80529785156,35.642520904541,"5",12638847.5,0.320437401533127
"115",15867,7700,50,"Beta-93907",299984.7975,6630126.238,8484,8500,3.23347616195679,766.616394042969,15.6759672164917,-19.0759677886963,1689.58117675781,34.4486618041992,"3",5793252.5,0.520442962646484
"116",66458,4170,90,"T-1909",280286.3545,6739310.658,4689,4700,8.79685020446777,505.931640625,18.9500007629395,-0.349999994039536,1940,31.6216335296631,"3",6489760.5,0.919928550720215
"117",16106,4160,40,"Beta-290933",285475.3626,6634092.122,4701,4700,8.9611234664917,502.514068603516,18.5394287109375,-0.0425626486539841,1804.77612304688,32.1355209350586,"3",2054276,0.96614944934845
