"","meancalyear","prdens"
"84",10917,0.0298790239620215
"85",10916,0.0297902271027111
"86",10915,0.0297023144158977
"87",10914,0.029640269255593
"88",10913,0.0295785314472291
"89",10912,0.0295170939105274
"90",10911,0.0294539839616415
"91",10910,0.0293931945038586
"92",10909,0.029389211782472
"93",10908,0.029385260178908
"94",10907,0.0293813397002386
"95",10906,0.0293774503522144
"96",10905,0.0293735921393308
"97",10904,0.0293897976181758
"98",10903,0.0294059999511032
"99",10902,0.0294221999326873
"100",10901,0.0350858096156866
"101",10900,0.0350641548816594
"102",10899,0.0350399861362007
"103",10898,0.0350132270376407
"104",10897,0.0349838067836788
"105",10896,0.0349516612840062
"106",10895,0.0349167343943147
"107",10894,0.0348802791122716
"108",10893,0.0348422986401472
"109",10892,0.0348027852404113
"110",10891,0.0347617683158994
"111",10890,0.0347192692740876
"112",10889,0.034676938252938
"113",10888,0.0346347963193374
"114",10887,0.0345928649164031
"115",10886,0.0345511658360856
"116",10885,0.0345097211894707
"117",10884,0.0344711321312728
"118",10883,0.0344354305660664
"119",10882,0.0344026473248832
"120",10881,0.0343728120779715
"121",10880,0.0343459532447898
"122",10879,0.0343237468915403
"123",10878,0.0343062233790057
"124",10877,0.0342933698930615
"125",10876,0.0342851853178605
"126",10875,0.0342816613354671
"127",10874,0.0342837383277021
"128",10873,0.0342913480119937
"129",10872,0.03430441392376
"130",10871,0.034322852553675
"131",10870,0.0343465914247936
"132",10869,0.034375342171783
"133",10868,0.0344090217004867
"134",10867,0.0344475427869429
"135",10866,0.0344908147282137
"136",10865,0.0345387439388033
"137",10864,0.0345900496235995
"138",10863,0.0346446868724831
"139",10862,0.0347026092681534
"140",10861,0.0347637689980846
"141",10860,0.0348281169615661
"142",10859,0.0348947750746261
"143",10858,0.0349637165445497
"144",10857,0.0350349139612312
"145",10856,0.0351083393161644
"146",10855,0.0351839640220649
"147",10854,0.0352620789528985
"148",10853,0.0353426466950006
"149",10852,0.0354256084022462
"150",10851,0.035510914147713
"151",10850,0.0355985132667303
"152",10849,0.0356887250704745
"153",10848,0.0357814599377174
"154",10847,0.0358766638458759
"155",10846,0.035974250290935
"156",10845,0.0360741500456091
"157",10844,0.0361758469495964
"158",10843,0.0362792470092516
"159",10842,0.0363843059221001
"160",10841,0.0364909798419483
"161",10840,0.0365992254170969
"162",10839,0.0367081933280937
"163",10838,0.0368178610908114
"164",10837,0.0369282058641876
"165",10836,0.0370392044684217
"166",10835,0.037150833403142
"167",10834,0.0372631748279211
"168",10833,0.0373762155175813
"169",10832,0.0374899420783139
"170",10831,0.0376043911943259
"171",10830,0.0377195007558643
"172",10829,0.0378362409733701
"173",10828,0.0379546218573052
"174",10827,0.0380746034921109
"175",10826,0.0381961711698099
"176",10825,0.0383193104166593
"177",10824,0.0384443073507596
"178",10823,0.0385711495869352
"179",10822,0.0386998241958627
"180",10821,0.0388303176321384
"181",10820,0.0389626156605779
"182",10819,0.0390963248734636
"183",10818,0.0392314302608585
"184",10817,0.039367915935701
"185",10816,0.0395057651057884
"186",10815,0.0396449600470245
"187",10814,0.0397853417016617
"188",10813,0.0399268849731879
"189",10812,0.0400695637358154
"190",10811,0.0402133606658952
"191",10810,0.0403582374206496
"192",10809,0.0405037019307353
"193",10808,0.0406497111966457
"194",10807,0.0407962218688217
"195",10806,0.0409431902948017
"196",10805,0.0410905725661117
"197",10804,0.04123847219347
"198",10803,0.0413868106838392
"199",10802,0.0415355085117869
"200",10801,0.0416844852905335
"201",10800,0.0418336599455795
"202",10799,0.0419827723015703
"203",10798,0.0421316951296537
"204",10797,0.0422802858376347
"205",10796,0.0424284342938168
"206",10795,0.0425760404204277
"207",10794,0.042722545330132
"208",10793,0.0428678312029914
"209",10792,0.0430117722913002
"210",10791,0.0431542660429133
"211",10790,0.0432952027426049
"212",10789,0.0434351112788761
"213",10788,0.0435739392914987
"214",10787,0.0437116192055612
"215",10786,0.0438481174600486
"216",10785,0.0439833841841749
"217",10784,0.0441175154768963
"218",10783,0.0442504883346846
"219",10782,0.0443823303325172
"220",10781,0.0445129704399721
"221",10780,0.0446423858087088
"222",10779,0.0447701154388991
"223",10778,0.0448961144611599
"224",10777,0.0450203359283005
"225",10776,0.0451427308976015
"226",10775,0.0452632485225588
"227",10774,0.0453818520092546
"228",10773,0.0454984331762288
"229",10772,0.0456128928093157
"230",10771,0.0457251465798764
"231",10770,0.0458350908067708
"232",10769,0.0459431972415821
"233",10768,0.0460494043197033
"234",10767,0.0461536494604532
"235",10766,0.0462558692445267
"236",10765,0.0463559996091634
"237",10764,0.0464546043767769
"238",10763,0.0465516576995099
"239",10762,0.0466471338132936
"240",10761,0.0467410070428599
"241",10760,0.0468332518068573
"242",10759,0.0469246298713846
"243",10758,0.0470150936378797
"244",10757,0.0471045472321129
"245",10756,0.0471928977891438
"246",10755,0.0472800554631406
"247",10754,0.0473654619605618
"248",10753,0.0474489359423934
"249",10752,0.0475303061255214
"250",10751,0.0476094113276589
"251",10750,0.0476861005478739
"252",10749,0.047760230292913
"253",10748,0.0478317163253176
"254",10747,0.0479004202345472
"255",10746,0.0479662427938133
"256",10745,0.0480290963355617
"257",10744,0.0480905274770114
"258",10743,0.0481505297148031
"259",10742,0.0482090645906523
"260",10741,0.0482661133679434
"261",10740,0.0483216594251659
"262",10739,0.0483784622596417
"263",10738,0.0484365027139178
"264",10737,0.0484957784119189
"265",10736,0.0485562869458412
"266",10735,0.0486180258752919
"267",10734,0.0486822840422292
"268",10733,0.0487490531916978
"269",10732,0.048818323220445
"270",10731,0.048890082182251
"271",10730,0.048964316296068
"272",10729,0.0490410412444703
"273",10728,0.0491202205333566
"274",10727,0.0492018144831801
"275",10726,0.0492857332839469
"276",10725,0.0493720005797612
"277",10724,0.0494605001720979
"278",10723,0.0495511489870011
"279",10722,0.0496438754638752
"280",10721,0.0497385882451282
"281",10720,0.0498351916723137
"282",10719,0.0499338359737419
"283",10718,0.0500344466390518
"284",10717,0.0501369447403917
"285",10716,0.0502412469778995
"286",10715,0.0503472657169612
"287",10714,0.0504538687337731
